,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
WA-10,254,207,461
WA-2,65,91,156
WA-3,80,118,198
WA-4,438,344,782
WA-5,65,69,134
WA-6,54,62,116
WA-7,33,81,114
WA-8,40,67,107
WA-9,130,235,365
WI-1,350,588,938
WI-2,405,754,1159
WI-3,306,540,846
WI-4,1029,985,2014
WI-5,316,560,876
WI-6,278,543,821
WI-7,321,908,1229
WI-8,407,1029,1436
WV-1,285,509,794
WV-2,391,698,1089
WV-3,534,659,1193
WY-A,943,529,1472
,2041,1185,3226
Total,196889,224718,421607

,PSE: Student enrolled in college in Fall 2015,,
Student: Full Congressional district,No,Yes,Total
,N,N,N
AK-A,206,196,402
AL-1,1555,1177,2732
AL-2,1142,870,2012
AL-3,1897,1400,3297
AL-4,1258,973,2231
AL-5,1478,1049,2527
AL-6,1131,782,1913
AL-7,2370,2154,4524
AR-1,948,1109,2057
AR-2,854,1213,2067
AR-3,639,808,1447
AR-4,1226,1703,2929
AZ-1,676,487,1163
AZ-2,502,457,959
AZ-3,244,349,593
AZ-4,385,437,822
AZ-5,209,259,468
AZ-6,296,467,763
AZ-7,1719,1273,2992
AZ-8,291,399,690
AZ-9,178,203,381
CA-1,93,224,317
CA-10,73,376,449
CA-11,86,360,446
CA-12,49,227,276
CA-13,91,465,556
CA-14,84,413,497
CA-15,25,155,180
CA-16,141,865,1006
CA-17,76,388,464
CA-18,30,151,181
CA-19,59,168,227
CA-2,32,166,198
CA-20,68,351,419
CA-21,126,557,683
CA-22,60,339,399
CA-23,12,55,67
CA-24,75,369,444
CA-25,93,398,491
CA-26,36,247,283
CA-27,135,560,695
CA-28,233,455,688
CA-29,69,156,225
CA-3,43,222,265
CA-30,191,474,665
CA-31,235,738,973
CA-32,61,270,331
CA-33,88,262,350
CA-34,189,305,494
CA-35,168,558,726
CA-36,110,344,454
CA-37,484,981,1465
CA-38,220,757,977
CA-39,107,449,556
CA-4,37,170,207
CA-40,286,463,749
CA-41,257,719,976
CA-42,76,254,330
CA-43,121,463,584
CA-44,344,705,1049
CA-45,78,409,487
CA-46,10,73,83
CA-47,190,814,1004
CA-48,98,452,550
CA-49,74,190,264
CA-5,42,212,254
CA-50,129,621,750
CA-51,91,470,561
CA-52,25,104,129
CA-53,140,727,867
CA-6,198,823,1021
CA-7,47,214,261
CA-8,66,292,358
CA-9,110,421,531
CO-1,1220,656,1876
CO-2,742,524,1266
CO-3,1149,762,1911
CO-4,1062,598,1660
CO-5,994,670,1664
CO-6,1541,1125,2666
CO-7,702,491,1193
CT-1,36,138,174
CT-2,20,131,151
CT-3,31,153,184
CT-4,38,169,207
CT-5,20,110,130
DC-A,54,154,208
DE-A,33,110,143
FL-1,681,631,1312
FL-10,1477,1461,2938
FL-11,553,541,1094
FL-12,374,502,876
FL-13,264,333,597
FL-14,794,881,1675
FL-15,421,393,814
FL-16,505,532,1037
FL-17,375,383,758
FL-18,428,497,925
FL-19,571,623,1194
FL-2,555,543,1098
FL-20,1379,1591,2970
FL-21,703,1164,1867
FL-22,129,160,289
FL-23,637,1121,1758
FL-24,722,752,1474
FL-25,1108,1689,2797
FL-26,707,1301,2008
FL-27,471,613,1084
FL-3,470,431,901
FL-4,323,304,627
FL-5,1141,795,1936
FL-6,501,577,1078
FL-7,437,589,1026
FL-8,758,919,1677
FL-9,674,776,1450
GA-1,245,522,767
GA-10,242,568,810
GA-11,91,177,268
GA-12,290,582,872
GA-13,804,1450,2254
GA-14,397,665,1062
GA-2,465,957,1422
GA-3,245,381,626
GA-4,636,1423,2059
GA-5,255,361,616
GA-6,210,570,780
GA-7,81,264,345
GA-8,168,357,525
GA-9,325,704,1029
HI-1,768,876,1644
HI-2,746,648,1394
IA-1,199,458,657
IA-2,264,505,769
IA-3,239,503,742
IA-4,190,556,746
ID-1,171,292,463
ID-2,297,359,656
IL-1,627,515,1142
IL-10,57,152,209
IL-11,1550,1553,3103
IL-12,1076,934,2010
IL-13,671,611,1282
IL-14,1432,1546,2978
IL-15,1075,921,1996
IL-16,1026,861,1887
IL-17,890,834,1724
IL-18,499,433,932
IL-2,1945,1970,3915
IL-3,843,1166,2009
IL-4,3686,3575,7261
IL-5,194,252,446
IL-6,34,58,92
IL-7,434,379,813
IL-8,1561,1868,3429
IL-9,498,1105,1603
IN-1,408,505,913
IN-2,98,224,322
IN-3,92,294,386
IN-4,73,205,278
IN-5,196,578,774
IN-6,98,221,319
IN-7,202,417,619
IN-8,107,295,402
IN-9,220,334,554
KS-1,519,755,1274
KS-2,308,552,860
KS-3,495,744,1239
KS-4,383,680,1063
KY-1,1414,985,2399
KY-2,2301,1445,3746
KY-3,1161,887,2048
KY-4,1307,1002,2309
KY-5,1939,1462,3401
KY-6,1208,845,2053
LA-1,645,683,1328
LA-2,2144,2174,4318
LA-3,1489,1233,2722
LA-4,1273,1124,2397
LA-5,1756,1595,3351
LA-6,814,711,1525
MA-1,13,103,116
MA-2,27,120,147
MA-3,31,137,168
MA-4,31,121,152
MA-5,30,150,180
MA-6,33,130,163
MA-7,45,180,225
MA-8,8,122,130
MA-9,13,66,79
MD-1,19,97,116
MD-2,63,200,263
MD-3,27,96,123
MD-4,102,255,357
MD-5,55,155,210
MD-6,56,148,204
MD-7,12,35,47
MD-8,82,282,364
ME-1,12,50,62
ME-2,19,40,59
MI-1,1074,861,1935
MI-10,1084,971,2055
MI-11,424,495,919
MI-12,1312,1274,2586
MI-13,1213,961,2174
MI-14,2105,1803,3908
MI-2,922,698,1620
MI-3,1705,1145,2850
MI-4,1269,909,2178
MI-5,865,676,1541
MI-6,1151,801,1952
MI-7,721,676,1397
MI-8,1021,965,1986
MI-9,1121,1105,2226
MN-1,266,465,731
MN-2,261,427,688
MN-3,155,318,473
MN-4,446,530,976
MN-5,502,728,1230
MN-6,313,473,786
MN-7,250,328,578
MN-8,316,307,623
MO-1,923,1097,2020
MO-2,260,633,893
MO-3,629,1104,1733
MO-4,513,741,1254
MO-5,433,504,937
MO-6,634,997,1631
MO-7,518,731,1249
MO-8,552,771,1323
MS-1,905,1877,2782
MS-2,950,1769,2719
MS-3,1076,2179,3255
MS-4,981,1666,2647
MT-A,1365,763,2128
NC-1,1155,836,1991
NC-10,1655,1266,2921
NC-11,1163,898,2061
NC-12,503,364,867
NC-13,175,177,352
NC-2,396,297,693
NC-3,1965,1379,3344
NC-4,2286,1747,4033
NC-5,659,499,1158
NC-6,1736,1392,3128
NC-7,1417,1141,2558
NC-8,1972,1404,3376
NC-9,1550,1575,3125
ND-A,618,443,1061
NE-1,463,667,1130
NE-2,442,840,1282
NE-3,487,807,1294
NH-1,27,78,105
NH-2,15,73,88
NJ-1,61,103,164
NJ-10,368,384,752
NJ-11,25,86,111
NJ-12,35,82,117
NJ-2,56,134,190
NJ-3,20,89,109
NJ-4,45,143,188
NJ-5,37,138,175
NJ-6,76,142,218
NJ-7,54,193,247
NJ-8,426,445,871
NJ-9,82,177,259
NM-1,275,600,875
NM-2,815,1281,2096
NM-3,452,642,1094
NV-1,105,116,221
NV-2,262,410,672
NV-3,175,356,531
NV-4,314,392,706
NY-1,30,169,199
NY-10,9,81,90
NY-11,49,317,366
NY-12,6,21,27
NY-13,80,327,407
NY-14,48,288,336
NY-15,55,292,347
NY-16,34,184,218
NY-17,40,209,249
NY-18,39,200,239
NY-19,26,120,146
NY-2,40,230,270
NY-20,25,112,137
NY-21,53,174,227
NY-22,40,195,235
NY-23,44,158,202
NY-24,34,161,195
NY-25,40,180,220
NY-26,33,232,265
NY-27,30,166,196
NY-3,51,345,396
NY-4,31,152,183
NY-5,88,346,434
NY-6,26,159,185
NY-7,64,370,434
NY-8,5,11,16
NY-9,95,319,414
OH-1,839,1133,1972
OH-10,242,566,808
OH-11,474,524,998
OH-12,359,552,911
OH-13,589,848,1437
OH-14,274,654,928
OH-15,204,390,594
OH-16,441,800,1241
OH-2,217,333,550
OH-3,654,1090,1744
OH-4,330,548,878
OH-5,314,479,793
OH-6,423,647,1070
OH-7,559,1039,1598
OH-8,339,620,959
OH-9,479,552,1031
OK-1,610,1016,1626
OK-2,744,955,1699
OK-3,581,673,1254
OK-4,557,914,1471
OK-5,520,908,1428
OR-1,505,384,889
OR-2,250,198,448
OR-3,242,347,589
OR-4,216,118,334
OR-5,77,167,244
PA-1,33,88,121
PA-10,28,115,143
PA-11,9,54,63
PA-12,32,136,168
PA-13,67,321,388
PA-14,21,70,91
PA-15,37,151,188
PA-16,34,70,104
PA-17,14,70,84
PA-18,49,194,243
PA-2,94,288,382
PA-3,84,137,221
PA-4,35,91,126
PA-5,60,134,194
PA-6,41,168,209
PA-7,20,84,104
PA-8,12,123,135
PA-9,29,78,107
RI-1,16,44,60
RI-2,36,93,129
SC-1,154,267,421
SC-2,322,795,1117
SC-3,168,420,588
SC-4,183,533,716
SC-5,190,450,640
SC-6,495,936,1431
SC-7,294,755,1049
SD-A,466,703,1169
TN-1,880,902,1782
TN-2,764,772,1536
TN-3,1243,1312,2555
TN-4,714,613,1327
TN-5,845,1073,1918
TN-6,1235,1007,2242
TN-7,1215,1203,2418
TN-8,978,1007,1985
TN-9,1740,2127,3867
TX-1,200,418,618
TX-10,37,78,115
TX-11,171,268,439
TX-12,51,129,180
TX-13,222,397,619
TX-14,81,218,299
TX-15,1269,1734,3003
TX-16,308,528,836
TX-17,166,351,517
TX-18,52,118,170
TX-19,384,624,1008
TX-2,169,410,579
TX-20,30,66,96
TX-21,81,215,296
TX-22,181,708,889
TX-23,339,780,1119
TX-24,444,440,884
TX-25,112,227,339
TX-26,227,467,694
TX-27,167,256,423
TX-28,422,500,922
TX-29,241,577,818
TX-3,217,595,812
TX-30,248,350,598
TX-31,150,436,586
